run,k,mature_acc,mature_rej,entropy,count_apple,count_car,count_cow,count_cup,count_dog,count_horse,count_pear,count_tomato,early_acc_running
A_interleaved,1,0.0875,0.6875,-0.0,3,0,0,0,0,0,0,0,1.0
A_interleaved,2,0.15,0.625,1.0,3,3,0,0,0,0,0,0,1.0
A_interleaved,3,0.2625,0.425,1.585,3,3,3,0,0,0,0,0,1.0
A_interleaved,4,0.3625,0.325,1.9808,3,3,3,2,0,0,0,0,1.0
A_interleaved,5,0.4125,0.275,2.306,3,3,3,2,3,0,0,0,1.0
A_interleaved,6,0.4625,0.275,2.5613,3,3,3,2,3,2,0,0,1.0
A_interleaved,7,0.525,0.2375,2.771,3,3,3,2,3,2,4,0,1.0
A_interleaved,8,0.575,0.2375,2.9591,3,3,3,2,3,2,4,4,1.0
A_interleaved,9,0.65,0.2375,2.9114,6,3,3,2,3,2,4,4,1.0
A_interleaved,10,0.65,0.2375,2.9114,6,3,3,2,3,2,4,4,1.0
A_interleaved,11,0.6625,0.225,2.8892,6,3,6,2,3,2,4,4,1.0
A_interleaved,12,0.6875,0.2,2.921,6,3,6,4,3,2,4,4,1.0
A_interleaved,13,0.7,0.1375,2.9212,6,3,6,4,6,2,4,4,1.0
A_interleaved,14,0.7125,0.1375,2.8715,6,3,9,4,6,2,4,4,0.9231
A_interleaved,15,0.7,0.125,2.8375,9,3,9,4,6,2,4,4,0.8571
A_interleaved,16,0.7,0.125,2.8402,9,3,9,4,6,2,4,8,0.8667
A_interleaved,17,0.725,0.125,2.78,13,3,9,4,6,2,4,8,0.875
A_interleaved,18,0.75,0.1,2.8145,13,5,9,4,6,2,4,8,0.8824
A_interleaved,19,0.75,0.1,2.7874,13,5,12,4,6,2,4,8,0.8889
A_interleaved,20,0.75,0.1,2.8172,13,5,12,7,6,2,4,8,0.8947
A_interleaved,21,0.75,0.1,2.7688,13,5,16,7,6,2,4,8,0.85
A_interleaved,22,0.75,0.1,2.7688,13,5,16,7,6,2,4,8,0.85
A_interleaved,23,0.725,0.1,2.7261,17,5,16,7,6,2,4,8,0.8095
A_interleaved,24,0.7375,0.1,2.7277,17,5,16,7,6,2,4,12,0.8182
A_interleaved,25,0.75,0.0875,2.7061,19,5,16,7,6,2,4,12,0.8261
A_interleaved,26,0.75,0.0875,2.7303,19,7,16,7,6,2,4,12,0.8333
A_interleaved,27,0.75,0.0875,2.6956,19,7,20,7,6,2,4,12,0.84
A_interleaved,28,0.75,0.0875,2.7106,19,7,20,9,6,2,4,12,0.8462
A_interleaved,29,0.7625,0.075,2.7371,19,7,20,9,9,2,4,12,0.8519
A_interleaved,30,0.7625,0.075,2.8036,19,7,20,9,9,5,4,12,0.8571
A_interleaved,31,0.7625,0.075,2.8442,19,7,20,9,9,5,7,12,0.8621
A_interleaved,32,0.7625,0.075,2.8119,23,7,20,9,9,5,7,12,0.8333
A_interleaved,33,0.775,0.075,2.7937,25,7,20,9,9,5,7,12,0.8387
A_interleaved,34,0.775,0.075,2.8099,25,9,20,9,9,5,7,12,0.8438
A_interleaved,35,0.775,0.075,2.7909,25,9,23,9,9,5,7,12,0.8485
A_interleaved,36,0.775,0.075,2.8048,25,9,23,12,9,5,7,12,0.8529
A_interleaved,37,0.775,0.075,2.8216,25,9,23,12,13,5,7,12,0.8571
A_interleaved,38,0.775,0.075,2.8464,25,9,23,12,13,7,7,12,0.8611
A_interleaved,39,0.7625,0.075,2.8248,28,9,23,12,13,7,7,12,0.8378
A_interleaved,40,0.75,0.075,2.8315,28,9,23,12,13,7,7,16,0.8421
A_interleaved,41,0.7625,0.075,2.8099,31,9,23,12,13,7,7,16,0.8462
A_interleaved,42,0.7625,0.075,2.8099,31,9,23,12,13,7,7,16,0.8462
A_interleaved,43,0.7625,0.075,2.7921,31,9,27,12,13,7,7,16,0.85
A_interleaved,44,0.7625,0.075,2.8018,31,9,27,15,13,7,7,16,0.8537
A_interleaved,45,0.775,0.0625,2.8094,31,9,27,15,16,7,7,16,0.8571
A_interleaved,46,0.775,0.0625,2.7951,31,9,30,15,16,7,7,16,0.8372
A_interleaved,47,0.775,0.0625,2.7779,34,9,30,15,16,7,7,16,0.8182
A_interleaved,48,0.775,0.0625,2.7818,34,9,30,15,16,7,7,19,0.8222
A_interleaved,49,0.775,0.0625,2.7702,36,9,30,15,16,7,7,19,0.8261
A_interleaved,50,0.775,0.0625,2.785,36,11,30,15,16,7,7,19,0.8298
A_interleaved,51,0.775,0.0625,2.7723,36,11,33,15,16,7,7,19,0.8333
A_interleaved,52,0.775,0.0625,2.7799,36,11,33,18,16,7,7,19,0.8367
A_interleaved,53,0.7875,0.0625,2.786,36,11,33,18,19,7,7,19,0.84
A_interleaved,54,0.7875,0.0625,2.786,36,11,33,18,19,7,7,19,0.84
A_interleaved,55,0.7875,0.0625,2.7656,40,11,33,18,19,7,7,19,0.8235
A_interleaved,56,0.7875,0.0625,2.7689,40,11,33,18,19,7,7,23,0.8269
A_interleaved,57,0.7875,0.0625,2.7535,43,11,33,18,19,7,7,23,0.8302
A_interleaved,58,0.7875,0.0625,2.7658,43,13,33,18,19,7,7,23,0.8333
A_interleaved,59,0.7875,0.0625,2.7532,43,13,37,18,19,7,7,23,0.8364
A_interleaved,60,0.7875,0.0625,2.7578,43,13,37,20,19,7,7,23,0.8393
A_interleaved,61,0.7875,0.0625,2.763,43,13,37,20,22,7,7,23,0.8421
A_interleaved,62,0.8,0.05,2.7823,43,13,37,20,22,9,7,23,0.8448
A_interleaved,63,0.7875,0.05,2.7832,43,13,37,20,22,9,7,25,0.8305
A_interleaved,64,0.775,0.05,2.7655,47,13,37,20,22,9,7,25,0.8167
A_interleaved,65,0.775,0.05,2.7514,50,13,37,20,22,9,7,25,0.8197
A_interleaved,66,0.7875,0.0375,2.7569,50,14,37,20,22,9,7,25,0.8226
A_interleaved,67,0.7875,0.0375,2.7491,50,14,40,20,22,9,7,25,0.8254
A_interleaved,68,0.7875,0.0375,2.7534,50,14,40,22,22,9,7,25,0.8281
A_interleaved,69,0.7875,0.0375,2.7584,50,14,40,22,26,9,7,25,0.8308
A_interleaved,70,0.8,0.0375,2.774,50,14,40,22,26,11,7,25,0.8333
A_interleaved,71,0.8,0.0375,2.8008,50,14,40,22,26,11,10,25,0.8358
A_interleaved,72,0.8,0.0375,2.8024,50,14,40,22,26,11,10,28,0.8382
A_interleaved,73,0.8,0.0375,2.8221,50,14,40,22,26,11,13,28,0.8261
A_interleaved,74,0.8,0.0375,2.8314,50,16,40,22,26,11,13,28,0.8286
A_interleaved,75,0.8,0.0375,2.8214,50,16,44,22,26,11,13,28,0.831
A_interleaved,76,0.8,0.0375,2.8263,50,16,44,25,26,11,13,28,0.8333
A_interleaved,77,0.8,0.0375,2.8285,50,16,44,25,30,11,13,28,0.8356
A_interleaved,78,0.8,0.0375,2.8462,50,16,44,25,30,14,13,28,0.8378
A_interleaved,79,0.825,0.0375,2.8649,50,16,44,25,30,14,17,28,0.84
A_interleaved,80,0.825,0.0375,2.8658,50,16,44,25,30,14,17,31,0.8421
B_shuffle_0,1,0.075,0.8375,-0.0,0,0,3,0,0,0,0,0,1.0
B_shuffle_0,2,0.15,0.7625,0.971,0,0,3,2,0,0,0,0,1.0
B_shuffle_0,3,0.275,0.4875,1.5613,0,0,3,2,0,0,3,0,1.0
B_shuffle_0,4,0.3,0.4875,1.9808,0,0,3,2,0,3,3,0,1.0
B_shuffle_0,5,0.35,0.45,1.8774,0,0,6,2,0,3,3,0,0.8
B_shuffle_0,6,0.4,0.3875,2.2184,0,0,6,2,0,3,3,3,0.8333
B_shuffle_0,7,0.425,0.375,2.0822,0,0,9,2,0,3,3,3,0.8571
B_shuffle_0,8,0.4625,0.3375,2.3852,0,0,9,2,4,3,3,3,0.875
B_shuffle_0,9,0.5,0.325,2.593,2,0,9,2,4,3,3,3,0.8889
B_shuffle_0,10,0.5125,0.3,2.6056,2,0,9,2,4,5,3,3,0.9
B_shuffle_0,11,0.525,0.3,2.6555,5,0,9,2,4,5,3,3,0.9091
B_shuffle_0,12,0.5,0.3,2.6099,9,0,9,2,4,5,3,3,0.8333
B_shuffle_0,13,0.5,0.3,2.5461,9,0,12,2,4,5,3,3,0.8462
B_shuffle_0,14,0.55,0.3,2.5911,9,0,12,2,4,5,6,3,0.7857
B_shuffle_0,15,0.575,0.2875,2.6168,9,0,12,2,7,5,6,3,0.8
B_shuffle_0,16,0.575,0.2875,2.5619,9,0,15,2,7,5,6,3,0.8125
B_shuffle_0,17,0.6125,0.25,2.6217,9,0,15,4,7,5,6,3,0.8235
B_shuffle_0,18,0.6,0.25,2.5914,13,0,15,4,7,5,6,3,0.7778
B_shuffle_0,19,0.6,0.25,2.6551,13,0,15,4,7,5,6,7,0.7895
B_shuffle_0,20,0.6,0.25,2.599,13,0,19,4,7,5,6,7,0.8
B_shuffle_0,21,0.5875,0.25,2.5367,13,0,23,4,7,5,6,7,0.8095
B_shuffle_0,22,0.575,0.25,2.5218,16,0,23,4,7,5,6,7,0.7727
B_shuffle_0,23,0.575,0.25,2.5218,16,0,23,4,7,5,6,7,0.7727
B_shuffle_0,24,0.575,0.25,2.5437,16,0,23,4,7,5,6,10,0.7826
B_shuffle_0,25,0.575,0.25,2.5473,16,0,23,4,7,5,6,14,0.7917
B_shuffle_0,26,0.6125,0.2125,2.6549,16,2,23,4,7,5,6,14,0.8
B_shuffle_0,27,0.625,0.2,2.6759,16,2,23,4,10,5,6,14,0.8077
B_shuffle_0,28,0.6125,0.2,2.67,16,2,23,4,10,5,6,16,0.7778
B_shuffle_0,29,0.625,0.2,2.7043,16,2,23,4,10,5,10,16,0.7857
B_shuffle_0,30,0.625,0.2,2.6915,19,2,23,4,10,5,10,16,0.7931
B_shuffle_0,31,0.65,0.175,2.7408,19,4,23,4,10,5,10,16,0.8
B_shuffle_0,32,0.6625,0.1625,2.7494,19,4,23,4,13,5,10,16,0.8065
B_shuffle_0,33,0.6875,0.1375,2.7808,19,6,23,4,13,5,10,16,0.8125
B_shuffle_0,34,0.6875,0.1375,2.7808,19,6,23,4,13,5,10,16,0.8125
B_shuffle_0,35,0.7,0.125,2.78,19,6,23,4,16,5,10,16,0.8182
B_shuffle_0,36,0.7125,0.1125,2.8107,19,6,23,6,16,5,10,16,0.8235
B_shuffle_0,37,0.7125,0.1125,2.8312,19,8,23,6,16,5,10,16,0.8286
B_shuffle_0,38,0.725,0.1125,2.8206,19,8,23,6,16,5,10,20,0.8333
B_shuffle_0,39,0.7375,0.1125,2.8023,19,8,26,6,16,5,10,20,0.8378
B_shuffle_0,40,0.725,0.1125,2.7888,23,8,26,6,16,5,10,20,0.8158
B_shuffle_0,41,0.725,0.1125,2.8187,23,8,26,9,16,5,10,20,0.8205
B_shuffle_0,42,0.725,0.1,2.8436,23,8,26,9,16,7,10,20,0.825
B_shuffle_0,43,0.725,0.1,2.864,23,11,26,9,16,7,10,20,0.8293
B_shuffle_0,44,0.7375,0.0875,2.8558,25,11,26,9,16,7,10,20,0.8333
B_shuffle_0,45,0.7375,0.0875,2.873,25,11,26,12,16,7,10,20,0.8372
B_shuffle_0,46,0.725,0.0875,2.8593,28,11,26,12,16,7,10,20,0.8182
B_shuffle_0,47,0.7125,0.0875,2.8378,32,11,26,12,16,7,10,20,0.8
B_shuffle_0,48,0.7125,0.0875,2.8486,32,11,26,15,16,7,10,20,0.8043
B_shuffle_0,49,0.725,0.0875,2.874,32,11,26,15,16,10,10,20,0.8085
B_shuffle_0,50,0.725,0.0875,2.8836,32,13,26,15,16,10,10,20,0.8125
B_shuffle_0,51,0.75,0.075,2.8729,34,13,26,15,16,10,10,20,0.8163
B_shuffle_0,52,0.75,0.075,2.8784,34,13,26,18,16,10,10,20,0.82
B_shuffle_0,53,0.75,0.075,2.8695,34,13,29,18,16,10,10,20,0.8235
B_shuffle_0,54,0.75,0.075,2.8543,37,13,29,18,16,10,10,20,0.8269
B_shuffle_0,55,0.775,0.075,2.8758,37,13,29,18,16,10,14,20,0.8302
B_shuffle_0,56,0.8,0.075,2.8753,37,13,29,18,16,10,14,24,0.8333
B_shuffle_0,57,0.8,0.075,2.8876,37,13,29,18,16,12,14,24,0.8364
B_shuffle_0,58,0.8,0.075,2.8903,37,13,29,20,16,12,14,24,0.8393
B_shuffle_0,59,0.8,0.075,2.8716,41,13,29,20,16,12,14,24,0.8421
B_shuffle_0,60,0.8,0.075,2.8736,41,13,29,23,16,12,14,24,0.8448
B_shuffle_0,61,0.7875,0.075,2.8649,41,13,33,23,16,12,14,24,0.8305
B_shuffle_0,62,0.7875,0.075,2.8534,41,13,37,23,16,12,14,24,0.8333
B_shuffle_0,63,0.775,0.075,2.841,44,13,37,23,16,12,14,24,0.8361
B_shuffle_0,64,0.775,0.075,2.8316,44,13,40,23,16,12,14,24,0.8226
B_shuffle_0,65,0.775,0.075,2.8413,44,15,40,23,16,12,14,24,0.8254
B_shuffle_0,66,0.775,0.075,2.8521,44,15,40,23,16,14,14,24,0.8281
B_shuffle_0,67,0.7875,0.075,2.84,47,15,40,23,16,14,14,24,0.8154
B_shuffle_0,68,0.7875,0.075,2.8413,47,15,40,23,16,14,14,28,0.8182
B_shuffle_0,69,0.8,0.0625,2.8455,47,16,40,23,16,14,14,28,0.8209
B_shuffle_0,70,0.8,0.0625,2.8338,47,16,44,23,16,14,14,28,0.8235
B_shuffle_0,71,0.8125,0.05,2.8441,47,16,44,23,19,14,14,28,0.8261
B_shuffle_0,72,0.8125,0.05,2.857,47,16,44,23,19,14,17,28,0.8286
B_shuffle_0,73,0.8125,0.05,2.8658,47,16,44,23,23,14,17,28,0.831
B_shuffle_0,74,0.8125,0.05,2.8658,47,16,44,23,23,14,17,28,0.831
B_shuffle_0,75,0.8125,0.05,2.8658,47,16,44,23,23,14,17,28,0.831
B_shuffle_0,76,0.825,0.0375,2.8702,47,16,44,23,27,14,17,28,0.8333
B_shuffle_0,77,0.825,0.0375,2.873,47,16,44,25,27,14,17,28,0.8356
B_shuffle_0,78,0.825,0.0375,2.8635,50,16,44,25,27,14,17,28,0.8378
B_shuffle_0,79,0.825,0.0375,2.8642,50,16,44,25,27,14,17,31,0.84
B_shuffle_0,80,0.825,0.0375,2.8658,50,16,44,25,30,14,17,31,0.8421
B_shuffle_1,1,0.05,0.8,-0.0,4,0,0,0,0,0,0,0,0.0
B_shuffle_1,2,0.125,0.725,0.9183,4,0,0,2,0,0,0,0,0.5
B_shuffle_1,3,0.1625,0.6,0.7219,8,0,0,2,0,0,0,0,0.3333
B_shuffle_1,4,0.1875,0.5375,1.2516,8,0,0,2,0,2,0,0,0.5
B_shuffle_1,5,0.2125,0.5125,1.1033,11,0,0,2,0,2,0,0,0.4
B_shuffle_1,6,0.2625,0.5125,1.5694,11,0,0,2,0,2,0,3,0.5
B_shuffle_1,7,0.2625,0.5125,1.5694,11,0,0,2,0,2,0,3,0.5
B_shuffle_1,8,0.35,0.35,1.9681,11,0,4,2,0,2,0,3,0.5714
B_shuffle_1,9,0.375,0.35,2.0195,11,0,4,2,0,2,0,7,0.625
B_shuffle_1,10,0.425,0.3,2.2465,11,2,4,2,0,2,0,7,0.6667
B_shuffle_1,11,0.45,0.275,2.2653,11,2,7,2,0,2,0,7,0.7
B_shuffle_1,12,0.425,0.275,2.2494,11,2,7,2,0,2,0,9,0.6364
B_shuffle_1,13,0.4875,0.225,2.5004,11,2,7,2,4,2,0,9,0.6667
B_shuffle_1,14,0.5125,0.225,2.4348,14,2,7,2,4,2,0,9,0.6923
